case,dice,iou,status
spleen_12,0.9737383076453983,0.9488206710817624,OK
spleen_19,0.884977014624145,0.7936849968396253,OK
spleen_29,0.9570049504950495,0.9175546431876973,OK
spleen_9,0.950214491587908,0.9051510846489058,OK
